word,run,temp,sentence,label
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
second,5,0.0,I finished in second place.,B
