word,run,temp,sentence,label
right,5,1.6,You turned the wheel to the right.,B
right,5,1.6,You have the right answer.,A
right,5,1.6,You have the right answer.,A
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You turned right at the corner.,B
right,5,1.6,She turned right at the corner.,B
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You are right.,A
right,5,1.6,You are standing on the right side.,B
right,5,1.6,You turned right at the corner.,B
right,5,1.6,She turned right at the corner.,B
right,5,1.6,You have the right answer.,A
right,5,1.6,You were right about the answer.,A
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You have the right answer.,A
right,5,1.6,You are standing in the right place.,A
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You were right about the movie.,A
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You have the right answer.,A
right,5,1.6,She turned right at the corner.,B
right,5,1.6,You should turn right at the corner.,B
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You turned the corner to the right.,B
right,5,1.6,You are right about the answer.,A
right,5,1.6,You were right about the weather today.,A
right,5,1.6,You have the right answer.,A
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You have the right answer.,A
right,5,1.6,You took the right path home.,B
right,5,1.6,You have the right answer.,A
right,5,1.6,You took the right turn.,D
right,5,1.6,You are standing in the right place.,A
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You were right about the weather.,A
right,5,1.6,Please turn right at the corner.,B
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You turned right at the corner.,B
right,5,1.6,She turned right at the corner.,B
right,5,1.6,You turned right at the corner.,B
right,5,1.6,You are right about the answer.,A
right,5,1.6,You have the right answer.,A
right,5,1.6,You turned right at the corner.,B
right,5,1.6,She turned right at the corner.,B
