word,run,temp,sentence,label
second,3,1.8,I finished in second place.,B
second,3,1.8,She finished in second place.,B
second,3,1.8,I finished the race in second place.,B
second,3,1.8,I finished in second place.,B
second,3,1.8,I will meet you in five minutes and thirty seconds.,A
second,3,1.8,She finished the race in second place.,B
second,3,1.8,I finished in second place.,B
second,3,1.8,She finished the race in second place.,B
second,3,1.8,I will arrive in two seconds.,D
second,3,1.8,I finished in second place.,B
second,3,1.8,I arrived second in the race.,B
second,3,1.8,She finished in second place.,B
second,3,1.8,She finished in second place.,B
second,3,1.8,I arrived in second place.,B
second,3,1.8,I finished in second place.,B
second,3,1.8,I finished in second place.,B
second,3,1.8,She finished in second place.,B
second,3,1.8,I will eat my second slice of cake.,B
second,3,1.8,I woke up in the second hour of class.,D
second,3,1.8,I will come back on the second day.,B
second,3,1.8,I arrived second in the race.,B
second,3,1.8,I finished in second place.,B
second,3,1.8,I will be there in a second.,A
second,3,1.8,I arrived second in the race.,B
second,3,1.8,I arrived in second place.,B
second,3,1.8,I will arrive in the second car.,B
second,3,1.8,I finished in second place.,B
second,3,1.8,I finished in second place.,B
second,3,1.8,I finished in second place.,B
second,3,1.8,I arrived in second place.,B
second,3,1.8,She finished in second place.,B
second,3,1.8,She finished in second place.,B
second,3,1.8,I finished in second place.,B
second,3,1.8,I finished in second place.,B
second,3,1.8,I arrived second in the race.,B
second,3,1.8,I finished in second place.,B
second,3,1.8,She finished in second place.,B
second,3,1.8,I will be there in a second.,A
second,3,1.8,I will come back in a second.,A
second,3,1.8,I finished in second place.,B
second,3,1.8,I will come home in a second.,A
second,3,1.8,She finished in second place.,B
second,3,1.8,I finished in second place.,B
second,3,1.8,I finished in second place.,B
second,3,1.8,I came in second in the race.,B
second,3,1.8,I waited for the second bus.,B
second,3,1.8,She finished in second place.,B
second,3,1.8,She finished in second place.,B
second,3,1.8,I got second place in the race.,B
second,3,1.8,I arrived second in the race.,B
