word,run_id,run,temp,sentence,label
second,2,2,2.0,"He walked in one step ahead of me, finishing second in iMessage.",D
second,2,2,2.0,A second is a very short time.,A
second,2,2,2.0,I ordered a second slice of cake.,B
second,2,2,2.0,My first attempt failed so I’ll answer with my _second_ choice.,B
second,2,2,2.0,Please wait a second.,A
second,2,2,2.0,He finished in second place.,B
second,2,2,2.0,I will second that proposal.,B
second,2,2,2.0,I see a second chance.,B
second,2,2,2.0,Time is told in second hand by hand: waiting makes it impossible facts come as second skin understanding patience sculpt just face out exists such heavy normal silence sealed,D
second,2,2,2.0,Please wait one second.,A
second,2,2,2.0,Hand me the blue folder on the second shelf.,B
second,2,2,2.0,I'll be there in a second.,A
second,2,2,2.0,"She chose the red dress, then found a second one and bought that, too.",B
second,2,2,2.0,She finished * second in the race.,B
second,2,2,2.0,She came in second place.,B
second,2,2,2.0,Second rock music makes band shirts stylish again overall plus larger improvements but cancels back tonight featuring at comedy ninth every great jump takes very five ring with worn,D
second,2,2,2.0,Egg is my second favorite breakfast food.,B
second,2,2,2.0,Take a second to breathe deeply.,A
second,2,2,2.0,You win in one second.,D
second,2,2,2.0,She is my second best friend.,B
second,2,2,2.0,She had a second chance.,B
second,2,2,2.0,Don’t give these vegetables a second thought.,B
second,2,2,2.0,The school bell rings at last second.,D
second,2,2,2.0,"They sat in comfortable seashell towels, just wanting fish meal prep status confirmed.",D
second,2,2,2.0,Пропущенный текст,D
second,2,2,2.0,The dog ate his second bowl of food.,B
second,2,2,2.0,Time is my second language.,B
second,2,2,2.0,The runner finished a distant second.,B
second,2,2,2.0,I ate a second cookie.,B
second,2,2,2.0,Please give me one second.,A
second,2,2,2.0,I happened to find a lucky penny online almost a split second before clicking away.,B
second,2,2,2.0,It's my second time visiting this park.,B
second,2,2,2.0,I need just one more second.,A
second,2,2,2.0,**Please wait one second.**,A
second,2,2,2.0,Hand her the second wrench.,B
second,2,2,2.0,I had a second helping of dessert.,B
second,2,2,2.0,That is her second coffee today.,B
second,2,2,2.0,She timed myself with ampere precision that takes includes moment sense? (Referring through Second regarding second intent? Final as using instantly timing after that points instead have,D
second,2,2,2.0,The appointment is scheduled for June second.,B
second,2,2,2.0,There are sixty seconds in one minute.,A
second,2,2,2.0,The second house is blue.,B
second,2,2,2.0,The black cat is my second pet.,B
second,2,2,2.0,I need a **second** to finish this.,A
second,2,2,2.0,Give him a second chance.,B
second,2,2,2.0,The second building on the left is the school.,B
second,2,2,2.0,Please wait a second.,A
second,2,2,2.0,Small hand had passed twelve now minute tick changed block.,D
second,2,2,2.0,I bought my book second that summer.,D
second,2,2,2.0,I'll have a second slice of cake.,B
second,2,2,2.0,She finished the race in second place.,B
