word,run_id,run,temp,sentence,label
ring,1,1,1.9,I wear a ring on my finger.,B
ring,1,1,1.9,She found a shiny ring on the table.,B
ring,1,1,1.9,She found a gold ring.,B
ring,1,1,1.9,She found a shiny ring on the table.,B
ring,1,1,1.9,There is a firm ring on her finger.,B
ring,1,1,1.9,She gave me a shiny gold ring.,B
ring,1,1,1.9,She wears a gold ring on her finger.,B
ring,1,1,1.9,She heard the phone ring.,A
ring,1,1,1.9,She wore a shiny gold ring.,B
ring,1,1,1.9,She answered the ringing phone.,A
ring,1,1,1.9,She received a shiny ring as a gift.,B
ring,1,1,1.9,She wore a beautiful ring.,B
ring,1,1,1.9,She gave me a beautiful ring.,B
ring,1,1,1.9,She wore a silver ring on her finger.,B
ring,1,1,1.9,She wears a ring on her finger.,B
ring,1,1,1.9,She wore a beautiful ring on her finger.,B
ring,1,1,1.9,She found a beautiful ring in the box.,B
ring,1,1,1.9,She found a beautiful ring on the table.,B
ring,1,1,1.9,She wears a gold ring.,B
ring,1,1,1.9,I gave her a new silver ring.,B
ring,1,1,1.9,She gave me a gold ring.,B
ring,1,1,1.9,She wore a golden ring.,B
ring,1,1,1.9,She put a ring on her finger.,B
ring,1,1,1.9,She gave me a ring at noon.,A
ring,1,1,1.9,She heard the phone ring.,A
ring,1,1,1.9,She gave me adiamond ring.,D
ring,1,1,1.9,She wears a red ring on her finger.,B
ring,1,1,1.9,She found a shiny gold ring.,B
ring,1,1,1.9,She wears a gold ring.,B
ring,1,1,1.9,She wore a shiny gold ring.,B
ring,1,1,1.9,She wore a beautiful ring.,B
ring,1,1,1.9,She wore a small gold ring.,B
ring,1,1,1.9,She wears a shiny ring.,B
ring,1,1,1.9,She wore a shiny ring on her finger.,B
ring,1,1,1.9,I wear a ring on my finger.,B
ring,1,1,1.9,She wore a nice gold ring.,B
ring,1,1,1.9,She forgot to ring the doorbell.,A
ring,1,1,1.9,I found a shiny ring on the table.,B
ring,1,1,1.9,She wore a shiny ring.,B
ring,1,1,1.9,She wore a beautiful ring.,B
ring,1,1,1.9,She wore a shiny silver ring.,B
ring,1,1,1.9,She found a gold ring on the beach.,B
ring,1,1,1.9,She wore a gold ring on her finger.,B
ring,1,1,1.9,She wore a beautiful ring.,B
ring,1,1,1.9,She will wear a gold ring.,B
ring,1,1,1.9,She heard the ring and answered the phone.,A
ring,1,1,1.9,The bell began to ring loudly.,A
ring,1,1,1.9,I hear the phone ring.,A
ring,1,1,1.9,She gave me a ring on my finger.,D
ring,1,1,1.9,She bought a beautiful ring yesterday.,B
